Clinic,Address,City,State,Zip,Treatment center,Detection center,Earliest facility asset created date,Earliest provider asset created date,Earliest any public asset created date,Cross-check assessment,Facility asset count,Provider photo asset count,Date source,Phone,Website,Providers
Georgia Eye Associates - Lawrenceville,"771 Old Norcross Road, Lawrenceville, GA 30046",Lawrenceville,GA,30046,No,Yes,2026-04-08,,2026-04-08,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17707583793,,Frank Winski
Georgia Eye Center,"4135 Lavista Road Suite 100, Tucker, GA 30084",Tucker,GA,30084,No,Yes,2026-04-10,,2026-04-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17705254080,https://georgiaeyecenter.net/,Kyle Jones OD
Georgia Eye Partners - Northside,"1100 Johnson Ferry Rd NE, Atlanta, GA 30342",Atlanta,GA,30342,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16067551678,www.gaeyepartners.com,Andrew Feinberg MD; Josh Johnston OD; Anar Maurya OD; Evan Schoenberg MD; Nichelle Warren; Sarah Bassett
Georgia Eye Partners - Woodstock,"120 Stone Bridge Pkwy, Woodstock, GA 30189",Woodstock,GA,30189,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16064882901,https://www.gaeyepartners.com/,Amber Zaunbrecher; Evan Schoenberg
Gig Harbor Eye Care,"4949 Borgen Boulevard, Gig Harbor, WA 98332",Gig Harbor,WA,98332,No,Yes,2026-04-28,,2026-04-28,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12536451246,https://www.gigharboreye.com/,
Good Life Eyecare,"15655 Pacific Street, Omaha, NE 68118",Omaha,NE,68118,No,Yes,2026-04-23,,2026-04-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14027714329,https://goodlifeeyecare.com/about-us/kyle-d-klute-o-d/,Kyle Klute OD
Gordon Schanzlin New Vision Institute,"4130 La Jolla Village Drive / Ste 300, La Jolla, CA 92037",La Jolla,CA,92037,Yes,Yes,2026-06-30,,2026-06-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18585442112,https://www.gwsvision.com/,
Gretna Eye & Aesthetics,"814 Village Square, Gretna, NE 68028",Gretna,NE,68028,No,Yes,2026-05-26,2026-05-26,2026-05-26,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14025435621,https://gretnaeye.com,Cheryl Chapman FIAOMC FAAO DIPL ABO Orthokeratologist
Grin Eye Care,"21020 W 151st Street, Olathe, KS 66061",Olathe,KS,66061,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19133474910,www.grineyecare.com,"Jeff Wongskhaluang MD; Emily Enright; Carl Kramer OD, FAAO, FSLS"
Grin Eye Care Leawood Kansas,"13400 Briar Street, Leawood, KS 66209",Leawood,KS,66209,No,Yes,2026-05-11,2026-05-11,2026-05-11,Strong: facility/provider asset dates within 7 days,1,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19135133954,https://www.grineyecare.com,Jamie McGowan OD; Jeffry Gerson OD; Breanne Niebuhr OD; Hannah Fann OD
Gulfcoast Eye Center,"2940 South Tamiami Trail, Sarasota, FL 34239",Sarasota,FL,34239,No,Yes,2026-06-29,,2026-06-29,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19412393948,https://www.gulfcoasteyecenter.com/,
Heartland Eye Care,"619 Southwest Corporate View, Topeka, KS 66615",Topeka,KS,66615,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17856294929,http://www.heartlandeyetopeka.com/,
Henry Vision Center,"3564 Georgia 138, Stockbridge, GA 30281",Stockbridge,GA,30281,No,Yes,2026-04-28,2026-04-28,2026-04-28,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19385296959,www.henryvision.net,Nickson Henry
Highland Optometry,"216 New York 299, Highland, NY 12528",Highland,NY,12528,No,Yes,2026-06-19,2026-06-18,2026-06-18,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18455391406,https://drbywater.com/,Mike Bywater
Hillcrest Vision,"2341 Winterhaven Lane, Winston-Salem, NC 27103",Winston-Salem,NC,27103,No,Yes,2026-04-23,,2026-04-23,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13368101156,www.hillcrestvision..com,Juwanna Hall OD
Holzman Laser Vision,"8401 Greensboro Drive, McLean, VA 22102",McLean,VA,22102,Yes,No,2026-06-05,,2026-06-05,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18039903273,https://www.drholzman.com,
Hoopes Vision,"11820 S. State St., Draper, UT 84020",Draper,UT,84020,Yes,Yes,2026-04-08,2026-04-09,2026-04-08,Strong: facility/provider asset dates within 7 days,4,9,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18014577346,,Michael Bradley MD; Steven Linn OD; Majid Moshirfar MD; Weston Barney OD; Benjamin Buckner MD; Bryan Frandsen OD; David Parkinson OD; Renee McIntosh OD; Kirk Drennan OD; Tim Melton OD
Horizon Eye Specialists & Lasik Center,"18325 N Allied Way / Suite 100, Phoenix, AZ 85054",Phoenix,AZ,85054,Yes,Yes,2026-04-17,2026-04-17,2026-04-17,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17177460475,http://www.horizonlaservision.com/corneal-transplantation.html,Josh Duncan MD; John Cason
Illinois Eye Institute,"3241 South Michigan Avenue, Chicago, IL 60616",Chicago,IL,60616,No,Yes,2026-04-15,,2026-04-15,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13126672707,https://www.illinoiseyeinstitute.org/,Jennifer Harthan; Lindsay Sicks; Diana Masolak; Pamela Boyce; Matthew McGee; Elyse Chaglasion; Louis Sclafani; William Skoog
In Focus: Scleral & Specialty Contact lense Soolutions,"East 2nd Street, Scottsdale, AZ 85251",Scottsdale,AZ,85251,No,Yes,2026-07-10,2026-07-10,2026-07-10,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14244953751,office@youreyesinfocus.com,Caitlin Morrison; Kaci Oldroyd OD
Inlet Eye Associates,"640 Morse Avenue, Murrells Inlet, SC 29576",Murrells Inlet,SC,29576,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18436041059,visionsource-seas.com,Joseph Ledford
Insight Eyecare Center,"2290 Kipling Street, Lakewood, CO 80215",Lakewood,CO,80215,No,Yes,2026-06-11,,2026-06-11,Facility asset only,4,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13367698496,https://insighteyecarecenter.net/,
Insight Eyecare Center,"7335 South Pierce Street, Littleton, CO 80128",Littleton,CO,80128,No,Yes,2026-06-11,,2026-06-11,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14788887423,www.insighteyecarecenter.net,
Insight Vision Optometry,"3151 Airway Ave. Ste. M3, Costa Mesa, CA 92626",Costa Mesa,CA,92626,No,Yes,2026-07-09,,2026-07-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17148441883,https://www.insightvisionoc.com/,
Inverness Eye Care,"258 Inverness Center Drive, Birmingham, AL 35242",Birmingham,AL,35242,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12057073438,invernesseyecare.com,Timothy Ansley
InVision Eye Health,"10835 South 700 East, Sandy, UT 84070",Sandy,UT,84070,No,Yes,2026-06-02,2026-06-02,2026-06-02,Strong: facility/provider asset dates within 7 days,3,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17432196654,https://www.invisioneye.com,Christopher Snow OD; Brenden White OD; Ashley Craven OD
Jenkins Eye Care,"615 Pilkoi St, Honolulu, HI 96814",Honolulu,HI,96814,Yes,No,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18084312046,http://https://jenkinseyecare.com/,
"John P. Frangie, MD","274 Westfield St., West Springfield, MA 01089",West Springfield,MA,01089,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14133006351,http://www.johnfrangiemd.com/our-services/keratoconus/,
Kapolei Eye Care,"511 Manawai St #401, Kapolei, HI 96707",Kapolei,HI,96707,No,Yes,2026-04-29,,2026-04-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18088089015,https://www.kapoleieyecare.com,
Kerri Svanda,"1231 116th Avenue Northeast Suite 450, Bellevue, WA 98004",Bellevue,WA,98004,No,Yes,2026-04-27,,2026-04-27,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14255347984,,
Ketchum Health,"5460 East La Palma Avenue, Anaheim, CA 92807",Anaheim,CA,92807,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17148745527,https://ketchumhealth.org/anaheim,
Key Whitman,"11442 North Central Expressway, Dallas, TX 75243",Dallas,TX,75243,Yes,Yes,2026-04-21,,2026-04-21,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12183187834,,julio Albarracin; Amanda Hoelscher Mrs.; Todd Agnew
Key Whitman,"11445 Dallas Parkway, Frisco, TX 75033",Frisco,TX,75033,No,Yes,2026-05-19,2026-05-19,2026-05-19,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14177644757,www.keywhitman.com,Joshua Heczko
Key Whitman,"11445 Dallas Parkway, Frisco, TX 75033",Frisco,TX,75033,No,Yes,2026-05-19,2026-05-19,2026-05-19,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176860218,www.keywhitman.com,Julio Albarracin
Key Whitman,"3400 North Tarrant Parkway, Fort Worth, TX 76177",Fort Worth,TX,76177,No,Yes,2026-05-19,2026-05-19,2026-05-19,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18178099069,www.keywhitman.com,Mingi Choi
Key Whitman,"6208 Colleyville Boulevard, Colleyville, TX 76034",Colleyville,TX,76034,No,Yes,2026-05-19,2026-05-19,2026-05-19,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176469688,www.keywhitman.com,Jimmy Tran
Key Whitman,"910 North Davis Drive, Arlington, TX 76012",Arlington,TX,76012,No,Yes,2026-05-19,2026-05-18,2026-05-18,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176872387,www.keywhitman.com,Ronald Barke
Kovach Eye Institute,"100 West Higgins Road, South Barrington, IL 60010",South Barrington,IL,60010,No,Yes,2026-04-29,2026-04-29,2026-04-29,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16307578312,,Mateen AliNiazee; Kevin Kovach; Marius Gradianu
Kovach Eye Institute,"152 N Addison Ave, Elmhurst, IL 60126",Elmhurst,IL,60126,No,Yes,2026-04-29,2026-04-29,2026-04-29,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16307934669,https://www.kovacheye.com/types-of-services/,Kevin Kovach; Mateen AliNiazee; Marius Gradianu
Kovach Eye Institute,"1960 Springbrook Square Drive, Naperville, IL 60564",Naperville,IL,60564,No,Yes,2026-04-29,2026-04-29,2026-04-29,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16308350332,,Kevin Kovach; Marius Gradianu; Mateen AliNiazee
Kovach Eye Institute,"7250 North Cicero Avenue, Lincolnwood, IL 60712",Lincolnwood,IL,60712,No,Yes,2026-04-29,2026-04-29,2026-04-29,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16306268882,,Mateen AliNiazee; Marius Gradianu; Kevin Kovach
Kraff Eye Institute,"25 East Washington St / Ste 606, Chicago, IL 60602",Chicago,IL,60602,Yes,Yes,,2026-04-06,2026-04-06,Provider asset only,0,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17407373799,http://kraffeye.com/all-procedures/,Colman Kraff MD; Elizabeth Wickware; Christopher Pereira
LA Sight,"11600 Wilshire Blvd / Suite 200, Los Angeles, CA 90025",Los Angeles,CA,90025,Yes,No,2026-07-10,,2026-07-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15625340288,http://www.la-sight.com/problem-solving/collagen-cross-linking,
Laser Eye Surgery of Erie,"311 West 24th St, Erie, PA 16502",Erie,PA,16502,Yes,Yes,2026-07-01,2026-07-01,2026-07-01,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18144845576,https://www.erielasereye.com/,Robert Haverly MD
LensCrafters- Belmar,"7151 West Alaska Drive, Lakewood, CO 80226",Lakewood,CO,80226,No,Yes,2026-06-22,,2026-06-22,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17756189723,https://local.lenscrafters.com/co/lakewood/7151-w-alaska-dr.html?cid=yext_0350&y_source=1_MTIxMDM3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,
LensCrafters- Cherry Creek,"3000 East 1st Avenue, Denver, CO 80206",Denver,CO,80206,No,Yes,2026-06-22,2026-06-22,2026-06-22,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16206991823,https://local.lenscrafters.com/co/denver/3000-e-1st-ave.html,Dan Hoover
Leonard-Bennett Optometry,"14425 Chase Street, Los Angeles, CA 91402",Los Angeles,CA,91402,No,Yes,2026-06-22,,2026-06-22,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",,https://www.drbleonard.com/,
Limestone Eye Care,"4320 West 6th Street, Lawrence, KS 66049",Lawrence,KS,66049,No,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17855102806,eyecarelimestone.com,Jacob Letourneau OD
Little Rock Eye Clinic,"201 Executive Ct / Suite A, Little Rock, AR 72205",Little Rock,AR,72205,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15014745396,https://littlerockeye.com/eye-clinic-little-rock-ar/,
Little Valley Eye Care,"2557 South River Road, B3, St. George, UT 84790",St. George,UT,84790,No,Yes,2026-06-02,2026-06-02,2026-06-02,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14359234202,https://littlevalleyeyecare.com,Steven Blake OD
Littlefield Eye Care,"220 West 75th Street, Kansas City, MO 64114",Kansas City,MO,64114,No,Yes,2026-04-23,,2026-04-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18165496004,https://littlefieldeyeassociates.com/,Jeff Grimes Optometrist; Kelli Smith; Kristen Yates
LOOKS EYEWARE STUDIO,"330 East Boutz Road, Las Cruces, NM 88005",Las Cruces,NM,88005,No,Yes,2026-04-30,2026-04-30,2026-04-30,Strong: facility/provider asset dates within 7 days,3,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15752213076,,Adrian Tenorio; Derek Clifton OD; Thomas Kunz
Louisiana Family Eyecare,"107 Terrabella Boulevard, Covington, LA 70433",Covington,LA,70433,No,Yes,2026-05-22,,2026-05-22,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19852443510,visionsource-lafamilyeyecare.com,
Low Country Eye Care- Goose Creek,"102 Greenland Drive, Goose Creek, SC 29445",Goose Creek,SC,29445,No,Yes,2026-07-09,2026-07-09,2026-07-09,Strong: facility/provider asset dates within 7 days,2,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18435473088,charlestoneyedoctor.com,Wes Shealy; Danny Coyle; Katie Young; Joseph Pitcavage
Ludlow Eye Associates,"200 Center ST, Ludlow, MA 01056",Ludlow,MA,01056,No,Yes,2026-05-11,,2026-05-11,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14133078585,ludlowandwilbrahameye.com,
Luminoptix Eye- National City,"1132 East Plaza Boulevard #201, National City, CA 91950",National City,CA,91950,No,Yes,2026-07-10,,2026-07-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16198264942,www.luminoptixeye.com,
Luminoptix Eye- San Diego,"655 Saturn Boulevard Suite H, San Diego, CA 92154",San Diego,CA,92154,No,Yes,2026-07-10,,2026-07-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16194734864,https://luminoptixeye.com/,
Luminous Vision Eye Care,"4851 West Hillsboro Boulevard, Coconut Creek, FL 33073",Coconut Creek,FL,33073,No,Yes,2026-04-15,,2026-04-15,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15073534774,https://www.luminousvisioneyecare.com/,Murad Zayed
Marciano Family Optometric,"1788 North Jog Road, West Palm Beach, FL 33411",West Palm Beach,FL,33411,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15615325480,https://visionsource-drmarciano.com/,Tsung-Hao (Albert) Wu
Marciano Family Vision Associates,"11380 Prosperity Farms Road, Building E, Suite 120, Palm Beach Gardens, FL 33410",Palm Beach Gardens,FL,33410,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15618723217,https://visionsource-drmarciano.com,Mark Marciano
Marietta Eye Clinic,"895 Canton Road NE / Bldg 100 (LASIK), Marietta, GA 30060",Marietta,GA,30060,Yes,No,2026-07-06,,2026-07-06,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17706920408,http://www.mariettaeye.com/about-us/specialites/cornea,
Marr-Kirkland Eye Center,"3030 University Drive East, College Station, TX 77845",College Station,TX,77845,No,Yes,2026-04-30,2026-04-30,2026-04-30,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19794065199,https://www.marr-kirklandeyecenter.com,Rachel Cook OD; Kyle Kirkland MD; Kelly Van Cleave OD
Maynard and Mitchell Eye Center,"3501 Memorial Parkway Southwest, Huntsville, AL 35801",Huntsville,AL,35801,No,Yes,2026-04-10,,2026-04-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12563429189,,Alan Peaslee OD
McConkey Eye Care,"4425 Fitch Avenue, Suite 120, Baltimore, MD 21236",Baltimore,MD,21236,No,Yes,2026-05-05,,2026-05-05,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14432917832,https://www.mcconkeyeyecare.com,
McCoy Vision Center,"100a Providence Main Street Northwest, Huntsville, AL 35806",Huntsville,AL,35806,No,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12565379090,http://www.eyehealthpartners.com/more-about-dr-swartz/,Tracy Schroeder Swartz OD
McKnight Eye Centers,"515 North State Route 291, Liberty, MO 64068",Liberty,MO,64068,Yes,Yes,2026-05-14,2026-05-14,2026-05-14,Strong: facility/provider asset dates within 7 days,2,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18167505733,https://www.mcknighteyecenters.com/,Anthony Brand; Neal Eylar; Dustin McKnight; Scott McKnight
Mega Vision Center,"187 Avenue U, Brooklyn, NY 11223",Brooklyn,NY,11223,No,Yes,2026-04-29,2026-04-29,2026-04-29,Strong: facility/provider asset dates within 7 days,3,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19896935977,https://www.megavisionbrooklyn.com/,Elena Feldman; Arthur Vayner; Oleksandra Savchuk; Elena Feldman
Miami Contact Lens Institute,"2627 Northeast 203rd Street, #116, Miami, FL 33180",Miami,FL,33180,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16205826765,https://www.miamicontactlens.com,Elise Kramer
Michigan Contact Lens,"25211 Coolidge Highway, Oak Park, MI 48237",Oak Park,MI,48237,No,Yes,2026-04-28,,2026-04-28,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12488262877,,
Michigan Eye Institute,"16255 Silver Parkway, Fenton, MI 48430",Fenton,MI,48430,No,Yes,2026-05-22,,2026-05-22,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18106459769,https://www.micheyecare.com,
Michigan Eye Institute - Flint,"4499 Town Center Parkway, Flint, MI 48532",Flint,MI,48532,No,Yes,2026-07-07,,2026-07-07,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18104428797,https://mieye.com/?utm_source=GMB&utm_medium=local&utm_campaign=flint-mi,
Michigan Eye Institute - Lapeer,"1005 South Lapeer Road, Lapeer, MI 48446",Lapeer,MI,48446,No,Yes,2026-07-07,,2026-07-07,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18108844907,https://mieye.com/lapeer/,
Microsurgical Eye Consultants,"USE PEABODY SHIP TO, Waltham, MA 02451",Waltham,MA,02451,No,Yes,2026-06-02,2026-06-02,2026-06-02,Strong: facility/provider asset dates within 7 days,2,6,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19786166872,https://meceye.com/corneal-cross-linking,Richard Rodman MD; Christen Kenrick OD; Joel Pakett MD; Rebecca McGee MD; Vicky Squillini OD; Rodney Immerman OD
Middlesex Eye Physicians,"400 Saybrook Rd, Middletown, CT 06457",Middletown,CT,06457,No,Yes,2026-06-11,,2026-06-11,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18607734195,www.middlesexeye.com,
Midwestern University Eye Institute,"3450 Lacey Road, Downers Grove, IL 60515",Downers Grove,IL,60515,No,Yes,2026-04-28,2026-04-28,2026-04-28,Strong: facility/provider asset dates within 7 days,3,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16305040575,,Daniel Deligio; Jessica Conroy; John Gialousakis; Vakishan Nadarajah
Mile High Eye Institute,"3535 River Point Parkway, Suite 200, Sheridan, CO 80110",Sheridan,CO,80110,Yes,Yes,2026-04-07,2026-04-09,2026-04-07,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17626000891,https://www.mhei.com/,Bill Richheimer
Mile High Eye Institute- Aurora,"1550 South Potomac Street, Aurora, CO 80012",Aurora,CO,80012,No,Yes,2026-04-21,,2026-04-21,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15078531810,https://www.mhei.com/locations/aurora/,
Miller Optometry,"34806 Yucaipa Boulevard, Yucaipa, CA 92399",Yucaipa,CA,92399,No,Yes,2026-06-08,,2026-06-08,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19097651681,https://www.miller-optometry.com/,
Minnesota Eye Consultants - Bloomington,"9801 Dupont Ave S / Suite 200, Bloomington, MN 55431",Bloomington,MN,55431,Yes,Yes,2026-04-30,,2026-04-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16188449864,https://www.mneye.com,
