Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Faisal Haq,"3060 Communications Parkway, Plano, TX 75093",Plano,TX,75093,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17622139968,https://keywhitman.com/locations/plano/,Faisal Haq,53932fea-9398-4c56-8943-c9ad94b9b94a
Family Vision Center,"3175 South State Road 7, Wellington, FL 33449",Wellington,FL,33449,No,Yes,Yes,2026-07-25T13:10:49+00:00,2026-08-16T12:25:42+00:00,+15612090499,https://www.fvcenter.com/?utm_source=gbp&utm_medium=organic,Lori Mazza; Kara Hayes,6b732cfa-b72c-4226-85d9-8efaf125dd18
First Sight Vision Care,"8115 Maple Lawn Boulevard, Fulton, MD 20759",Fulton,MD,20759,No,Yes,Yes,2026-08-05T13:52:29+00:00,2026-08-16T12:25:42+00:00,+15722340167,https://www.firstsightvisioncare.com/,,a69316be-1995-446f-93d2-18f8b8c434d0
Focal Point Eyecare Fresh Meadows,"186-14 Union Turnpike, Queens, NY 11432",Queens,NY,11432,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15165852964,https://focalpointeyecareny.com/,Sigalit Davidov,79e0e7dd-d22a-4958-a30f-fb01cd932d41
Forever You and Eye,"12400 Southeast 38th Street, Bellevue, WA 98006",Bellevue,WA,98006,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19382014594,https://www.foreveryouneye.com/,,9cd8e4c8-846c-4cb8-beb2-bda1e60fd1b0
Franklin Vision Care,"141 1st Avenue North, Franklin, TN 37064",Franklin,TN,37064,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16157095949,https://www.franklinvisioncare.com/,Annedrea Morreale,64b94ba4-9797-446c-81fd-2b6f0860ab72
Friedman Optometry,"10837 Laurel Street
Suite 202, Rancho Cucamonga, CA 91730",Rancho Cucamonga,CA,91730,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19097740322,https://www.friedmanoptometry.com,,553b9d95-f6cd-4ee3-9370-aabbe9f7840a
Friedman Optometry,"2150 North Waterman Avenue
Suite 201, San Bernardino, CA 92404",San Bernardino,CA,92404,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19094036847,www.friedmanoptometry.com,,42ae30b6-4d38-418a-9931-beab4047f88b
Front Range Eye Associates,"13605 Xavier Lane, Broomfield, CO 80023",Broomfield,CO,80023,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17157028664,https://visionsource-frea.com/,Carrie Burleson,9280c802-5afb-4ac6-8b90-896dfe8f7940
Fuerst Eye Center,"1808 Verdugo Blvd / Suite 103, Glendale, CA 91208",Glendale,CA,91208,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15103196052,https://www.fuersteyemd.com,,89b78cc4-0c98-4d03-b4f1-9c7014911747
Geisinger Healthplex Centerpoint,"1201 Oak Street, Pittston, PA 18640",Pittston,PA,18640,Yes,No,Yes,2026-07-24T13:24:06+00:00,2026-08-16T12:25:42+00:00,+15707745541,,Steve Carrubba MD,e5733aa8-3791-48cb-8cfb-a1df5acdc679
Georgetown University Medical Center,"3800 Reservoir Road NW, Washington, DC 20007",Washington,DC,20007,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16188457448,https://www.medstarhealth.org/locations/medstar-georgetown-university-hospital?utm_campaign=mhs_citations&utm_medium=listing&utm_source=citation_management&utm_term=hospital,,5ef10d79-0a6c-442c-9370-2ae3cc4c3bd5
Georgia Eye Associates,"3120 Maple Drive Northeast, Atlanta, GA 30305",Atlanta,GA,30305,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14048825471,https://www.georgiaeyeassociates.com/,Jeremy Chartash; Brian Kahn; Ye Ji Kim,e9ab3ef7-6ded-45b6-9c98-336f6895e373
Georgia Eye Associates - Lawrenceville,"771 Old Norcross Road, Lawrenceville, GA 30046",Lawrenceville,GA,30046,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17707583793,,Frank Winski,8b4bd52b-0d1b-4fe0-a81b-a2060d4acc71
Georgia Eye Center,"4135 Lavista Road Suite 100, Tucker, GA 30084",Tucker,GA,30084,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17705254080,https://georgiaeyecenter.net/,Kyle Jones OD,efa59a1e-4f2c-48bc-80e6-3bc094dbd8b6
Georgia Eye Partners - Northside,"1100 Johnson Ferry Rd NE, Atlanta, GA 30342",Atlanta,GA,30342,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16067551678,www.gaeyepartners.com,Andrew Feinberg MD; Josh Johnston OD; Anar Maurya OD; Evan Schoenberg MD; Nichelle Warren; Sarah Bassett,92bb4a7c-bae5-4c7e-b72a-fbcff5e95691
Georgia Eye Partners - Woodstock,"120 Stone Bridge Pkwy, Woodstock, GA 30189",Woodstock,GA,30189,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16064882901,https://www.gaeyepartners.com/,Amber Zaunbrecher; Evan Schoenberg,69e2b2cb-d225-43e7-b69a-bd87ecdec910
Gig Harbor Eye Care,"4949 Borgen Boulevard, Gig Harbor, WA 98332",Gig Harbor,WA,98332,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12536451246,https://www.gigharboreye.com/,,6855ba44-513e-47fb-90f0-02dc68a81a6f
Good Life Eyecare,"15655 Pacific Street, Omaha, NE 68118",Omaha,NE,68118,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14027714329,https://goodlifeeyecare.com/about-us/kyle-d-klute-o-d/,Kyle Klute OD,9850bc3e-8d4a-4104-aa50-98ed8b5a2065
Gordon Schanzlin New Vision Institute,"4130 La Jolla Village Drive / Ste 300, La Jolla, CA 92037",La Jolla,CA,92037,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18585442112,https://www.gwsvision.com/,,b9291bce-9516-49a1-99db-1e6702776073
Gowri Pachigolla,"634 Uptown Blvd, Cedar Hill, TX 75104",Cedar Hill,TX,75104,Yes,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+17744486442,https://www.texaseyes.com/,Jamie Gold,cf961061-8be3-4f7d-a50b-8afb1ec43155
Graystone Eye,"2640 North Carolina 105, Boone, NC 28607",Boone,NC,28607,No,Yes,No,2026-08-02T13:06:35+00:00,2026-08-03T14:25:18+00:00,+15074458153,graystone-eye.com,Kayli Standridge,b26df1c1-26ef-4b27-b9d8-7b169187c5ce
Graystone Eye,"2424 Century Place SE, Hickory, NC 28602",Hickory,NC,28602,Yes,Yes,Yes,2026-07-29T13:54:58+00:00,2026-08-16T12:25:42+00:00,+12184266198,https://www.graystone-eye.com/cornea-services/,Jacob Keener; Heather Day; Ralph Oursler; Richard Chang,56e88bbf-e52f-4fe1-91a9-6d72f02eac21
Gretna Eye & Aesthetics,"814 Village Square, Gretna, NE 68028",Gretna,NE,68028,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14025435621,https://gretnaeye.com,Cheryl Chapman FIAOMC FAAO DIPL ABO Orthokeratologist,6cfe845d-2f6e-4bbc-8424-2e29953ff828
Grin Eye Care,"21020 W 151st Street, Olathe, KS 66061",Olathe,KS,66061,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19133474910,www.grineyecare.com,"Jeff Wongskhaluang MD; Emily Enright; Carl Kramer OD, FAAO, FSLS",9403144f-9575-4edb-8d85-916f6ed239d0
Grin Eye Care Leawood Kansas,"13400 Briar Street, Leawood, KS 66209",Leawood,KS,66209,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19135133954,https://www.grineyecare.com,Jamie McGowan OD; Jeffry Gerson OD; Breanne Niebuhr OD; Hannah Fann OD,68d5d2b5-6219-4049-986e-4687d357c42c
Gulfcoast Eye Center,"2940 South Tamiami Trail, Sarasota, FL 34239",Sarasota,FL,34239,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19412393948,https://www.gulfcoasteyecenter.com/,Steven Bovio,519b0d09-d784-4e21-af20-1fbcb1bfea5d
GW Eye Associates,"7841 Fay Avenue, San Diego, CA 92037",San Diego,CA,92037,No,Yes,Yes,2026-08-11T12:49:25+00:00,2026-08-16T12:25:42+00:00,+18588676184,www.gweye.com,,ba25e340-1efb-40bf-bdbb-a5493545da5c
Harborview Medical Center,"PO Box 50009, Seattle, WA 98145",Seattle,WA,98145,No,Yes,Yes,2026-07-18T21:18:06+00:00,2026-08-16T12:25:42+00:00,+12295543108,https://www.uwmedicine.org/locations/harborview-medical-center?utm_source=extnet&utm_medium=organic&utm_campaign=website_clicks&y_source=1_MTAwNDcxNDM0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,2ae754fc-1a01-4c67-82c6-3373b8d44398
Harvard Eye Associates,"3500 Barranca Pkwy / Suite 290, Irvine, CA 92606",Irvine,CA,92606,Yes,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+19492032644,http://www.harvardeye.com/services/specialty-eye-care/keratoconus/,,51b0a25d-186c-495f-a863-64732e73fd48
Heartland Eye Care,"619 Southwest Corporate View, Topeka, KS 66615",Topeka,KS,66615,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17856294929,http://www.heartlandeyetopeka.com/,,11280adb-4da2-4ee7-ad5b-83d03bb33c6e
Henry Vision Center,"3564 Georgia 138, Stockbridge, GA 30281",Stockbridge,GA,30281,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19385296959,www.henryvision.net,Nickson Henry,3ad16b41-7a42-4427-af8e-9dcfca737340
Highland Optometry,"216 New York 299, Highland, NY 12528",Highland,NY,12528,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18455391406,https://drbywater.com/,Mike Bywater,fa81d472-997a-425a-b487-69b22f552fc7
Hillcrest Vision,"2341 Winterhaven Lane, Winston-Salem, NC 27103",Winston-Salem,NC,27103,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13368101156,www.hillcrestvision..com,Juwanna Hall OD,938268e5-6f5f-4b27-b04f-52d8d763a70a
Holzman Laser Vision,"8401 Greensboro Drive, McLean, VA 22102",McLean,VA,22102,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18039903273,https://www.drholzman.com,,b77c17df-0e55-44fe-83de-ce9422ec41c0
Hoopes Vision,"11820 S. State St., Draper, UT 84020",Draper,UT,84020,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18014577346,,Michael Bradley MD; Steven Linn OD; Majid Moshirfar MD; Weston Barney OD; Benjamin Buckner MD; Bryan Frandsen OD; David Parkinson OD; Renee McIntosh OD; Kirk Drennan OD; Tim Melton OD,36a25250-e2f1-4671-807b-487ab7820aff
Horizon Eye Specialists & Lasik Center,"18325 N Allied Way / Suite 100, Phoenix, AZ 85054",Phoenix,AZ,85054,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17177460475,http://www.horizonlaservision.com/corneal-transplantation.html,Josh Duncan MD; John Cason,38f89e23-446d-41e6-b113-6b17768439dd
Horvath Vision Care Northwoods,"180 Northwoods Boulevard, Columbus, OH 43235",Columbus,OH,43235,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-23T02:10:23+00:00,+18158814070,horvathvisionnorthwoods.com,Rebecca Lugar; Breanna Williams; Lara Leach; Katie Simonovich; Wasim Sleiman; Jamie Horvath; Mark Horvath,d8cf34c2-8ce1-4779-a532-c211d5d4d3c6
Illinois Eye Institute,"3241 South Michigan Avenue, Chicago, IL 60616",Chicago,IL,60616,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13126672707,https://www.illinoiseyeinstitute.org/,Jennifer Harthan; Lindsay Sicks; Diana Masolak; Pamela Boyce; Matthew McGee; Elyse Chaglasion; Louis Sclafani; William Skoog,ca073252-6e9f-4076-a290-450122bd8003
In Focus: Scleral & Specialty Contact lense Soolutions,"East 2nd Street, Scottsdale, AZ 85251",Scottsdale,AZ,85251,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14244953751,office@youreyesinfocus.com,Caitlin Morrison; Kaci Oldroyd OD,97b83f1a-88d0-441d-b629-ef4efa95daf8
Inlet Eye Associates,"640 Morse Avenue, Murrells Inlet, SC 29576",Murrells Inlet,SC,29576,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18436041059,visionsource-seas.com,Joseph Ledford,ec17c45a-7dcf-4335-b7c9-82b7a7230dc5
Insight Eyecare Center,"2290 Kipling Street, Lakewood, CO 80215",Lakewood,CO,80215,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13367698496,https://insighteyecarecenter.net/,,45441d27-e7a3-4ef6-a408-d40ad7a5700d
Insight Eyecare Center,"7335 South Pierce Street, Littleton, CO 80128",Littleton,CO,80128,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14788887423,www.insighteyecarecenter.net,,91d22012-18a9-4027-8786-c515010eb067
Insight Vision Optometry,"3151 Airway Ave. Ste. M3, Costa Mesa, CA 92626",Costa Mesa,CA,92626,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17148441883,https://www.insightvisionoc.com/,,1220d9f2-4e43-462c-8977-896641bfd256
Inverness Eye Care,"258 Inverness Center Drive, Birmingham, AL 35242",Birmingham,AL,35242,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12057073438,invernesseyecare.com,Timothy Ansley,da3c3a4b-e776-48a6-a37f-5fc5a32418ee
InVision Eye Health,"10835 South 700 East, Sandy, UT 84070",Sandy,UT,84070,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17432196654,https://www.invisioneye.com,Christopher Snow OD; Brenden White OD; Ashley Craven OD,31aaaf10-5277-4cde-9543-1dda1800f36b
Jenkins Eye Care,"615 Pilkoi St, Honolulu, HI 96814",Honolulu,HI,96814,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18084312046,http://https://jenkinseyecare.com/,,d854e74e-a04b-454c-b6f0-7ad087bfaae6
"John P. Frangie, MD","274 Westfield St., West Springfield, MA 01089",West Springfield,MA,01089,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14133006351,http://www.johnfrangiemd.com/our-services/keratoconus/,,c6a32fd5-ae0c-446b-8bf3-07b2d298b354
Kapolei Eye Care,"511 Manawai St #401, Kapolei, HI 96707",Kapolei,HI,96707,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18088089015,https://www.kapoleieyecare.com,,e6a415ef-f656-42ef-a5ee-8cd53ac234a8
Kerri Svanda,"1231 116th Avenue Northeast Suite 450, Bellevue, WA 98004",Bellevue,WA,98004,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14255347984,,,9b959219-5c7e-4e2d-872a-5891894969c2
Ketchum Health,"5460 East La Palma Avenue, Anaheim, CA 92807",Anaheim,CA,92807,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17148745527,https://ketchumhealth.org/anaheim,,f498aa3c-fae2-405b-a3f1-2e60700ac3e1
Key Whitman,"910 North Davis Drive, Arlington, TX 76012",Arlington,TX,76012,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18176872387,www.keywhitman.com,Ronald Barke,db47965b-34e2-4376-9882-b7d7db688d55
Key Whitman,"6208 Colleyville Boulevard, Colleyville, TX 76034",Colleyville,TX,76034,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18176469688,www.keywhitman.com,Jimmy Tran,6495baad-9a39-419e-9230-fbff298f49ce
Key Whitman,"11442 North Central Expressway, Dallas, TX 75243",Dallas,TX,75243,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12183187834,,julio Albarracin; Amanda Hoelscher Mrs.; Todd Agnew,5d1a46b3-48f4-465a-8f9a-5480989df972
Key Whitman,"3400 North Tarrant Parkway, Fort Worth, TX 76177",Fort Worth,TX,76177,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18178099069,www.keywhitman.com,Mingi Choi,62a21831-8017-426a-af3e-f9663c205c0d
Key Whitman,"11445 Dallas Parkway, Frisco, TX 75033",Frisco,TX,75033,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14177644757,www.keywhitman.com,Joshua Heczko,04e0ce90-8cee-40b0-8c0f-28ce8161cb4b
Key Whitman,"11445 Dallas Parkway, Frisco, TX 75033",Frisco,TX,75033,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18176860218,www.keywhitman.com,Julio Albarracin,29365805-e7b0-408d-b62e-d0317ee5b598
Kings Highway Vision Center,"1302 Kings Highway, Brooklyn, NY 11229",Brooklyn,NY,11229,No,Yes,Yes,2026-08-14T12:51:38+00:00,2026-08-16T12:25:42+00:00,+13186598780,https://www.kingshighwayvisioncenter.com/,Olga Alekberov,4a11aa6f-5ee2-4716-9341-016cd4dea5d5
Kovach Eye Institute,"152 N Addison Ave, Elmhurst, IL 60126",Elmhurst,IL,60126,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16307934669,https://www.kovacheye.com/types-of-services/,Kevin Kovach; Mateen AliNiazee; Marius Gradianu,aa5576d1-ad61-45f9-9d48-1ca4478fbd7d
Kovach Eye Institute,"7250 North Cicero Avenue, Lincolnwood, IL 60712",Lincolnwood,IL,60712,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16306268882,,Mateen AliNiazee; Marius Gradianu; Kevin Kovach,120267c6-be80-4b3a-a13e-c9d28dc0360b
Kovach Eye Institute,"1960 Springbrook Square Drive, Naperville, IL 60564",Naperville,IL,60564,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16308350332,,Kevin Kovach; Marius Gradianu; Mateen AliNiazee,dfa6bd4d-73a6-4af2-889f-91777dd8996d
Kovach Eye Institute,"100 West Higgins Road, South Barrington, IL 60010",South Barrington,IL,60010,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16307578312,,Mateen AliNiazee; Kevin Kovach; Marius Gradianu,ba81ff6b-22b4-4db3-86a5-3667f5972317
Kraff Eye Institute,"25 East Washington St / Ste 606, Chicago, IL 60602",Chicago,IL,60602,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17407373799,http://kraffeye.com/all-procedures/,Colman Kraff MD; Elizabeth Wickware; Christopher Pereira,95787deb-ceb4-4c77-be0a-0b03f75e54e0
LA Sight,"11600 Wilshire Blvd / Suite 200, Los Angeles, CA 90025",Los Angeles,CA,90025,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15625340288,http://www.la-sight.com/problem-solving/collagen-cross-linking,,47afd682-109f-42fe-a2e7-067db34aba48
Laser Eye Surgery of Erie,"311 West 24th St, Erie, PA 16502",Erie,PA,16502,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18144845576,https://www.erielasereye.com/,Robert Haverly MD,fc0fb58b-a5b3-4788-adf0-08ba255b252f
Laser Vision Correction Center of New Jersey,"16 South Jefferson Road, Hanover, NJ 07981",Hanover,NJ,07981,No,Yes,Yes,2026-08-01T13:05:04+00:00,2026-08-16T12:25:42+00:00,+19733544536,https://lasikcenternj.com/,Christina Benn OD,867ed5f7-48e9-4546-86ab-1b6fc55eea49
Lenscrafters Cascade Station,"10021 Northeast Cascades Parkway, Portland, OR 97220",Portland,OR,97220,No,Yes,Yes,2026-08-04T13:55:18+00:00,2026-08-16T12:25:42+00:00,+15039873415,https://local.lenscrafters.com/or/portland/10021-ne-cascades-parkway.html?cid=yext_E897&y_source=1_MTc4Nzc1MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,32430a76-608f-4664-bc8f-d0a54af2a42c
LensCrafters- Belmar,"7151 West Alaska Drive, Lakewood, CO 80226",Lakewood,CO,80226,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17756189723,https://local.lenscrafters.com/co/lakewood/7151-w-alaska-dr.html?cid=yext_0350&y_source=1_MTIxMDM3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,91397353-5361-471d-844e-2e29e62af3f0
LensCrafters- Cherry Creek,"3000 East 1st Avenue, Denver, CO 80206",Denver,CO,80206,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16206991823,https://local.lenscrafters.com/co/denver/3000-e-1st-ave.html,Dan Hoover,ceceef2d-92f8-4c1a-ba9c-696569c0ba56
Leonard-Bennett Optometry,"14425 Chase Street, Los Angeles, CA 91402",Los Angeles,CA,91402,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,,https://www.drbleonard.com/,,588f8bd8-2717-41db-9b5a-ded3224b1f3c
Limestone Eye Care,"4320 West 6th Street, Lawrence, KS 66049",Lawrence,KS,66049,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17855102806,eyecarelimestone.com,Jacob Letourneau OD,576ff68e-a552-4701-9c92-9b939aa06b5d
Little Rock Eye Clinic,"201 Executive Ct / Suite A, Little Rock, AR 72205",Little Rock,AR,72205,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15014745396,https://littlerockeye.com/eye-clinic-little-rock-ar/,,3881c4f8-843a-48f4-ac19-8a5d9e80e2c9
Little Valley Eye Care,"2557 South River Road, B3, St. George, UT 84790",St. George,UT,84790,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14359234202,https://littlevalleyeyecare.com,Steven Blake OD,9f41ff96-acda-49d5-810e-000c0b1bfd55
Littlefield Eye Care,"220 West 75th Street, Kansas City, MO 64114",Kansas City,MO,64114,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18165496004,https://littlefieldeyeassociates.com/,Jeff Grimes Optometrist; Kelli Smith; Kristen Yates,a61bbf05-8b1c-44aa-9ac2-5e3ae49000b5
Littleton Family Eyecare,"1869 West Littleton Boulevard, Littleton, CO 80120",Littleton,CO,80120,No,Yes,Yes,2026-08-01T13:05:04+00:00,2026-08-16T12:25:42+00:00,+18454156491,https://littletonfamilyeyecare.com/,,76898d3a-9d8e-4ea4-ad90-cfdf01af95f7
LOOKS EYEWARE STUDIO,"330 East Boutz Road, Las Cruces, NM 88005",Las Cruces,NM,88005,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15752213076,,Adrian Tenorio; Derek Clifton OD; Thomas Kunz,18acc6af-e8b4-4f84-ad11-461712833143
Louisiana Family Eyecare,"107 Terrabella Boulevard, Covington, LA 70433",Covington,LA,70433,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19852443510,visionsource-lafamilyeyecare.com,,d7d4b076-fbb9-4d1c-bcaa-e98aaefa4be7
Low Country Eye Care- Goose Creek,"102 Greenland Drive, Goose Creek, SC 29445",Goose Creek,SC,29445,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18435473088,charlestoneyedoctor.com,Wes Shealy; Danny Coyle; Katie Young; Joseph Pitcavage,95323a94-b884-4a2d-af28-c253ec3c9de9
Ludlow Eye Associates,"200 Center ST, Ludlow, MA 01056",Ludlow,MA,01056,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14133078585,ludlowandwilbrahameye.com,,085308f2-4e5b-4e3f-88bf-388106def199
Luminoptix Eye- National City,"1132 East Plaza Boulevard #201, National City, CA 91950",National City,CA,91950,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16198264942,www.luminoptixeye.com,,4327992d-454c-4daf-8f3b-c911c9a22ba4
Luminoptix Eye- San Diego,"655 Saturn Boulevard Suite H, San Diego, CA 92154",San Diego,CA,92154,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16194734864,https://luminoptixeye.com/,,66f9c8de-24ee-4514-9109-ff6bccaba023
Luminous Vision Eye Care,"4851 West Hillsboro Boulevard, Coconut Creek, FL 33073",Coconut Creek,FL,33073,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15073534774,https://www.luminousvisioneyecare.com/,Murad Zayed,07470d5a-d80a-4de6-8863-10491647e66b
Marciano Family Optometric,"1788 North Jog Road, West Palm Beach, FL 33411",West Palm Beach,FL,33411,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15615325480,https://visionsource-drmarciano.com/,Tsung-Hao (Albert) Wu,c66f6b9b-a41d-40e5-b38a-7880b027a818
Marciano Family Vision Associates,"11380 Prosperity Farms Road, Building E, Suite 120, Palm Beach Gardens, FL 33410",Palm Beach Gardens,FL,33410,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15618723217,https://visionsource-drmarciano.com,Mark Marciano,7afe26d7-d275-4fad-80b9-e1a947c3fe93
Marietta Eye Clinic,"895 Canton Road NE / Bldg 100 (LASIK), Marietta, GA 30060",Marietta,GA,30060,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17706920408,http://www.mariettaeye.com/about-us/specialites/cornea,,40e45a0a-8d6c-454c-b0d4-887e1e54100b
Marr-Kirkland Eye Center,"3030 University Drive East, College Station, TX 77845",College Station,TX,77845,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19794065199,https://www.marr-kirklandeyecenter.com,Rachel Cook OD; Kyle Kirkland MD; Kelly Van Cleave OD,6e21c139-8f70-4591-8dd5-21e70e5b5f44
Maynard and Mitchell Eye Center,"3501 Memorial Parkway Southwest, Huntsville, AL 35801",Huntsville,AL,35801,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12563429189,,Alan Peaslee OD,f85dbdf0-5771-4c62-b1b5-01a7035d7a2b
McConkey Eye Care,"4425 Fitch Avenue, Suite 120, Baltimore, MD 21236",Baltimore,MD,21236,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14432917832,https://www.mcconkeyeyecare.com,,0d681a20-2cbe-4849-9228-d9302fdd2891
